###################################
# Users files.                    #
# It is not a good idea to store  #
# passwords in a plain text file. #
# We do it here to keep the       #
# application simple.             #
#                                 #
# uwnetid;passwd;campus           #
###################################
1;Tacoma;1
1;Bothell;1
1;Bothell;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
2;Bothell Bookstore;2
2;Bothell Bookstore;2
2;Bothell Bookstore;22
2;Bothell Bookstore;2
2;Bothell Bookstore;2
2;Bothell Bookstore;2
1;Bothell Bookstore;1
2;Bothell Bookstore;2
3;Bothell Bookstore;3
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Tacoma Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
1;Bothell Bookstore;1
2;Bothell Bookstore;2
2;Bothell Bookstore;2
